Name,Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Jaylen Brown,1.69,34.46,19.16,9.28,7.09,2.81,5.98,3.36,1.24,0.55,2.72,2.9,24.66
Semi Ojeleye,1.86,16.96,3.95,1.59,2.82,1.04,2.62,0.66,0.3,0.0,0.38,1.0,4.64
Tristan Thompson,-0.06,23.83,6.04,3.13,0.06,0.0,8.13,1.24,0.44,0.61,1.15,2.2,7.57
Robert Williams,3.23,18.95,4.96,3.58,0.04,0.0,6.88,1.81,0.83,1.75,1.0,2.02,8.02
Marcus Smart,2.04,32.94,10.62,4.23,5.88,1.94,3.48,5.69,1.5,0.48,2.0,2.62,13.06
Aaron Nesmith,2.93,14.54,3.87,1.7,2.35,0.87,2.76,0.5,0.33,0.2,0.5,1.89,4.74
Kemba Walker,1.88,31.84,15.72,6.6,8.21,2.95,3.95,4.93,1.12,0.28,2.05,1.42,19.28
Carsen Edwards,2.55,8.89,3.58,1.52,2.03,0.58,0.84,0.45,0.23,0.03,0.23,0.81,3.97
Tremont Waters,2.58,9.14,3.23,1.31,1.46,0.58,0.81,2.38,0.58,0.04,1.04,0.65,3.81
Tacko Fall,10.84,7.13,1.53,1.11,0.0,0.0,2.74,0.16,0.05,1.05,0.32,1.16,2.47
Luke Kornet,-0.23,11.21,3.26,1.42,1.9,0.48,2.16,0.77,0.13,1.03,0.23,0.65,3.42
Romeo Langford,0.67,15.71,3.28,1.17,1.0,0.28,1.94,0.72,0.33,0.28,0.56,1.33,3.11
Evan Fournier,-2.19,29.98,12.88,5.88,6.74,2.79,3.05,3.43,1.12,0.45,1.74,2.29,17.12
Jabari Parker,-1.46,12.73,4.23,2.31,0.85,0.15,3.23,0.85,0.08,0.38,0.77,1.0,5.54
Daniel Theis,-0.45,24.62,7.17,3.88,2.34,0.75,5.48,1.66,0.63,0.88,1.02,2.57,9.65
Javonte Green,0.17,11.55,2.49,1.29,0.73,0.24,1.73,0.41,0.68,0.15,0.46,1.1,3.56
Moritz Wagner,-4.56,16.04,5.09,2.31,2.02,0.69,3.24,1.11,0.58,0.4,0.96,2.4,6.89
RJ Barrett,2.31,34.87,14.72,6.49,4.29,1.72,5.75,3.01,0.74,0.28,1.93,2.61,17.56
Julius Randle,2.25,37.56,18.61,8.48,5.48,2.25,10.18,6.01,0.9,0.25,3.39,3.17,24.11
Reggie Bullock,2.77,29.99,8.63,3.82,6.12,2.51,3.43,1.52,0.8,0.17,0.69,2.25,10.91
Immanuel Quickley,3.0,19.43,9.06,3.58,4.73,1.84,2.14,1.98,0.47,0.19,0.91,1.78,11.42
Nerlens Noel,2.03,24.17,3.48,2.14,0.05,0.0,6.38,0.72,1.09,2.2,1.02,2.75,5.06
Elfrid Payton,2.17,23.56,9.87,4.27,1.56,0.44,3.43,3.22,0.75,0.14,1.63,1.84,10.14
Obi Toppin,3.4,11.02,3.37,1.68,1.37,0.42,2.23,0.47,0.27,0.24,0.37,0.89,4.08
Alec Burks,2.24,25.6,10.2,4.29,5.02,2.08,4.63,2.18,0.63,0.29,1.0,2.08,12.71
Taj Gibson,4.33,20.79,3.51,2.2,0.33,0.07,5.56,0.8,0.69,1.09,0.49,2.2,5.36
Kevin Knox,2.76,11.06,3.4,1.33,2.12,0.83,1.45,0.45,0.29,0.14,0.4,0.88,3.88
Derrick Rose,2.82,25.58,12.22,5.74,2.58,1.0,2.6,4.18,0.98,0.38,1.56,1.12,14.68
Frank Ntilikina,4.42,9.76,2.39,0.88,1.45,0.7,0.94,0.58,0.55,0.12,0.33,1.36,2.7
Mitchell Robinson,0.26,27.5,5.68,3.71,0.0,0.0,8.13,0.55,1.13,1.45,0.84,2.77,8.26
Theo Pinson,3.18,2.0,0.53,0.06,0.47,0.0,0.29,0.06,0.0,0.0,0.06,0.24,0.12
Jared Harper,8.75,2.03,0.5,0.0,0.12,0.0,0.25,0.12,0.0,0.0,0.38,0.12,0.38
John Henson,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Luca Vildoza,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Austin Rivers,1.42,23.47,6.81,2.89,4.14,1.53,2.28,2.25,0.83,0.06,1.0,1.78,7.92
Dennis Smith,-5.09,18.26,6.3,2.52,2.52,0.83,2.39,3.35,1.0,0.61,1.13,1.61,6.7
Patrick Williams,-0.97,27.93,7.44,3.59,1.94,0.76,4.61,1.39,0.9,0.65,1.38,1.77,9.23
Coby White,-0.77,31.24,13.07,5.43,6.58,2.36,4.12,4.75,0.55,0.22,2.26,2.59,15.09
Thaddeus Young,-0.47,24.3,9.74,5.44,0.66,0.18,6.22,4.28,1.09,0.59,2.01,2.24,12.1
Denzel Valentine,-1.06,16.7,6.71,2.5,3.9,1.29,3.18,1.69,0.48,0.11,0.68,1.13,6.55
Zach LaVine,-0.14,35.06,19.36,9.81,8.22,3.45,4.98,4.86,0.79,0.47,3.5,2.38,27.43
Tomáš Satoranský,-0.36,22.53,5.67,2.91,2.03,0.72,2.45,4.67,0.69,0.24,1.66,1.53,7.71
Garrett Temple,-0.91,27.29,6.8,2.82,3.57,1.2,2.86,2.21,0.77,0.54,1.04,2.25,7.55
Lauri Markkanen,-1.47,25.83,10.22,4.9,5.8,2.33,5.25,0.88,0.51,0.29,1.02,1.47,13.63
Ryan Arcidiacono,-0.66,10.23,2.66,1.11,1.52,0.57,1.52,1.27,0.2,0.0,0.23,1.07,3.09
Nikola Vučević,-4.51,33.55,19.94,9.51,6.29,2.51,11.67,3.84,0.93,0.69,1.8,1.96,23.41
Cristiano Felício,-4.0,4.64,0.72,0.39,0.11,0.0,1.44,0.5,0.22,0.0,0.22,0.56,1.28
Adam Mokoka,-9.57,4.01,1.36,0.5,0.71,0.07,0.36,0.36,0.14,0.07,0.36,0.36,1.07
Troy Brown,-5.97,15.39,4.24,1.82,2.06,0.65,3.09,0.85,0.29,0.18,0.62,1.44,4.74
Devon Dotson,-4.09,4.56,1.91,1.0,0.64,0.09,0.45,0.64,0.36,0.0,0.0,0.27,2.09
Al-Farouq Aminu,-8.0,18.88,4.3,1.65,1.61,0.35,4.78,1.35,0.83,0.39,1.22,1.26,4.43
Wendell Carter,-5.02,25.47,8.46,4.26,0.94,0.28,8.2,1.93,0.65,0.78,1.44,2.7,11.22
Otto Porter,-1.61,21.67,8.11,3.5,3.71,1.39,5.43,1.96,0.57,0.14,0.89,1.46,9.68
Daniel Gafford,1.96,14.65,4.17,2.85,0.0,0.0,4.28,0.54,0.48,1.39,0.76,1.81,7.04
Chandler Hutchison,-1.4,13.83,4.12,1.56,0.88,0.32,3.12,0.68,0.48,0.2,0.8,1.32,4.28
Terry Rozier,-1.91,34.54,16.43,7.39,8.28,3.22,4.38,4.25,1.26,0.38,1.86,1.72,20.39
Miles Bridges,-1.53,29.27,9.42,4.74,4.39,1.76,6.02,2.23,0.67,0.79,1.61,2.17,12.73
Bismack Biyombo,-2.64,20.44,3.67,2.15,0.02,0.0,5.26,1.23,0.26,1.12,1.08,2.14,5.02
P.J. Washington,-1.19,30.53,10.72,4.72,4.53,1.75,6.53,2.52,1.08,1.23,2.0,2.67,12.88
Devonte' Graham,-2.95,30.16,12.16,4.58,8.67,3.25,2.69,5.36,0.87,0.11,1.53,1.4,14.84
Caleb Martin,-1.77,15.44,4.83,1.81,2.36,0.58,2.66,1.26,0.7,0.23,0.62,1.17,4.98
Cody Martin,-0.58,16.33,3.62,1.6,1.12,0.31,3.1,1.65,0.71,0.23,0.77,1.0,3.98
LaMelo Ball,-2.14,28.8,13.18,5.75,5.12,1.8,5.92,6.14,1.59,0.35,2.84,2.67,15.75
