Name,Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Hassan Whiteside,-3.86,15.16,6.22,3.5,0.03,0.0,5.97,0.56,0.25,1.28,1.11,2.03,8.14
Chimezie Metu,-5.14,13.56,4.97,2.53,1.03,0.36,3.11,0.78,0.39,0.5,0.81,1.64,6.28
Justin James,-5.25,8.62,3.08,1.44,1.06,0.39,0.83,0.61,0.22,0.08,0.42,0.64,3.86
Kyle Guy,-5.65,7.58,2.84,0.94,1.48,0.42,1.13,1.03,0.19,0.0,0.35,0.65,2.81
Jahmi'us Ramsey,-8.46,7.27,2.92,1.15,1.46,0.38,0.77,0.46,0.31,0.08,0.23,0.62,3.08
Robert Woodard,-12.38,3.49,1.54,0.62,0.46,0.08,1.23,0.15,0.0,0.23,0.08,0.31,1.54
Glenn Robinson,-7.48,16.06,4.3,1.83,1.91,0.7,1.96,0.87,0.17,0.13,0.48,1.0,5.26
Louis King,4.33,14.21,5.67,2.83,1.83,0.67,3.0,1.5,1.17,0.5,0.67,1.5,7.33
Kenrich Williams,-10.42,21.6,6.23,3.32,1.77,0.79,4.14,2.3,0.83,0.26,1.15,2.17,7.97
Théo Maledon,-11.51,27.35,9.45,3.48,4.82,1.62,3.25,3.49,0.86,0.17,2.17,1.94,10.12
Isaiah Roby,-11.02,23.36,7.03,3.39,1.79,0.52,5.59,1.75,0.85,0.61,1.85,2.66,8.74
Darius Bazley,-9.93,31.17,12.55,4.96,5.2,1.51,7.2,1.8,0.53,0.45,2.22,1.09,13.71
Luguentz Dort,-7.69,29.68,12.29,4.75,6.33,2.17,3.63,1.69,0.87,0.37,1.52,2.58,14.02
Aleksej Pokusevski,-11.82,24.22,9.07,3.09,4.6,1.29,4.71,2.16,0.44,0.93,2.2,1.29,8.16
Moses Brown,-16.6,21.4,6.23,3.4,0.0,0.0,8.91,0.23,0.72,1.09,1.0,2.16,8.6
Shai Gilgeous-Alexander,-6.43,33.7,16.14,8.2,4.86,2.03,4.74,5.91,0.77,0.66,3.03,2.0,23.71
Mike Muscala,-5.69,18.44,7.63,3.4,5.26,1.94,3.77,0.8,0.23,0.31,0.6,1.54,9.69
Ty Jerome,-13.67,23.87,8.7,3.88,5.09,2.15,2.76,3.64,0.61,0.18,1.42,1.85,10.7
Al Horford,-5.82,27.92,12.86,5.79,5.43,2.0,6.71,3.36,0.89,0.93,1.04,1.71,14.21
Josh Hall,-23.33,16.0,4.71,1.43,1.76,0.19,2.81,1.33,0.19,0.05,1.19,1.76,4.1
Jaylen Hoard,-20.26,16.82,4.63,2.32,0.58,0.0,3.42,1.26,0.68,0.26,0.89,1.0,6.11
Gabriel Deck,-19.3,21.16,6.7,3.2,1.5,0.2,4.0,2.4,0.8,0.0,0.6,0.9,8.4
Charlie Brown,-24.11,16.87,4.78,1.44,2.33,0.56,1.89,1.0,0.44,0.22,0.67,2.11,4.44
Darius Miller,-9.94,10.93,2.67,1.22,2.33,0.94,1.33,1.17,0.72,0.28,0.44,0.72,4.06
Justin Robinson,-19.11,9.75,2.33,0.78,1.56,0.44,0.78,1.0,0.33,0.0,0.22,1.11,2.33
Jae'Sean Tate,-7.73,29.18,8.93,4.51,2.79,0.86,5.34,2.54,1.21,0.51,1.4,3.17,11.34
Sterling Brown,-6.43,24.09,6.57,2.94,4.22,1.78,4.39,1.41,0.75,0.24,0.8,1.9,8.16
Kenyon Martin,-8.11,23.73,7.07,3.6,2.13,0.78,5.38,1.07,0.67,0.91,0.84,1.98,9.31
Christian Wood,-5.63,32.34,15.61,8.02,5.02,1.88,9.63,1.73,0.83,1.17,1.95,2.15,20.98
John Wall,-5.5,32.2,18.15,7.33,6.22,1.98,3.23,6.88,1.05,0.78,3.52,1.15,20.57
Danuel House,-7.64,25.9,7.56,3.06,4.33,1.5,3.67,1.92,0.56,0.44,1.0,1.86,8.75
David Nwaba,-7.33,22.62,7.27,3.53,2.1,0.57,3.93,1.03,1.0,0.7,0.57,2.0,9.2
Eric Gordon,-4.07,29.21,13.59,5.89,7.78,2.56,2.15,2.63,0.52,0.48,1.89,1.63,17.81
Kevin Porter,-10.96,32.13,14.12,6.0,6.19,1.92,3.81,6.31,0.73,0.31,3.5,2.35,16.58
Anthony Lamb,-14.12,17.3,4.92,1.92,2.96,0.96,2.92,0.96,0.25,0.21,0.79,1.42,5.54
Armoni Brooks,-12.05,26.02,9.6,3.9,7.85,3.0,3.4,1.5,0.6,0.25,1.1,1.7,11.15
Khyri Thomas,-4.4,30.59,13.2,6.4,5.4,1.8,3.6,5.0,1.8,1.2,1.2,1.6,16.4
Cameron Oliver,-8.75,21.84,8.25,4.75,3.25,1.0,5.25,1.25,0.5,1.0,0.75,2.75,10.75
Justin Patton,-16.62,18.98,5.38,2.23,2.62,0.69,3.77,1.08,0.92,1.08,0.31,2.62,5.38
Ben McLemore,-3.98,17.07,6.89,2.55,5.28,1.83,1.89,0.74,0.43,0.17,0.79,1.66,7.66
Ray Spalding,-17.0,9.37,2.0,1.0,0.5,0.0,2.0,0.0,0.0,1.0,1.5,1.5,2.0
Bruno Caboclo,-3.5,6.07,2.83,1.33,0.83,0.0,2.33,0.17,0.0,0.33,0.67,1.0,2.83
Anthony Edwards,-5.56,32.14,16.82,7.01,7.22,2.38,4.67,2.93,1.14,0.5,2.22,1.79,19.33
Naz Reid,-5.44,19.24,8.3,4.34,2.49,0.87,4.6,1.03,0.49,1.09,0.99,2.56,11.2
Ricky Rubio,-5.4,26.05,7.32,2.84,3.15,0.97,3.28,6.37,1.44,0.06,1.63,2.04,8.56
Jarred Vanderbilt,-6.44,17.8,3.69,2.23,0.08,0.02,5.75,1.19,1.0,0.72,0.83,1.92,5.38
Jaden McDaniels,-6.78,23.98,5.83,2.6,3.14,1.14,3.68,1.13,0.56,0.95,0.75,2.73,6.78
Josh Okogie,-4.0,20.28,4.31,1.73,1.83,0.49,2.64,1.07,0.92,0.47,0.73,2.08,5.36
Juan Hernangómez,-5.44,17.31,5.75,2.5,3.23,1.06,3.94,0.67,0.37,0.13,0.52,1.0,7.21
Jordan McLaughlin,-6.92,18.39,4.75,1.96,1.8,0.65,2.12,3.78,1.0,0.12,1.0,0.86,5.02
Karl-Anthony Towns,-3.02,33.78,17.5,8.5,6.3,2.44,10.58,4.5,0.78,1.14,3.2,3.72,24.78
Jake Layman,-8.18,13.94,4.09,2.02,1.73,0.51,1.49,0.62,0.64,0.42,0.58,0.98,5.13
D'Angelo Russell,-4.14,28.48,15.52,6.69,7.38,2.86,2.64,5.81,1.07,0.43,2.67,1.62,18.95
Jaylen Nowell,-7.26,18.07,7.98,3.38,3.57,1.19,2.26,1.48,0.52,0.29,0.67,1.71,9.02
Malik Beasley,-8.03,32.81,16.22,7.14,8.68,3.46,4.38,2.38,0.81,0.19,1.62,1.68,19.57
Jarrett Culver,-11.24,14.68,4.94,2.03,1.56,0.38,3.06,0.71,0.5,0.26,0.82,1.71,5.29
Ed Davis,-10.04,13.0,1.91,0.83,0.0,0.0,5.0,0.91,0.57,0.57,0.3,2.43,2.09
Ashton Hagans,-17.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
